病院名,住所,電話番号,緯度,経度,定休日
賛天堂外科医院,相生町14-15,053-461-0355,34.708599,137.747887,日曜日
鈴木内科クリニック,葵西4-20-17,053-438-5255,34.772275,137.703476,"木曜日,土曜日,日曜日"
そえだ医院,泉3-1-58,053-471-5000,34.745706,137.723543,"日曜日,水曜日,土曜日"
篠田内科,泉2-36-11,053-416-1616,34.743302,137.719081,木曜日
相羽内科クリニック,板屋町110-5,053-458-6776,34.706241,137.735268,"木曜日,土曜日,日曜日"
山下循環器クリニック,上島5丁目12番28号,053-416-2811,34.742839,137.743819,日曜日
かしの樹クリニック,上島6-3-41,053-416-0606,34.741881,137.738624,"土曜日,水曜日,日曜日"
かえで医院,鴨江1-13-16,053-450-1600,34.702364,137.72208,"水曜日,土曜日,日曜日"
たく整形外科医院,鴨江2丁目56-5,053-453-1122,34.704897,137.706862,"日曜日,水曜日,土曜日"
木村敏夫内科医院,鴨江2丁目52番29号,053-452-7215,34.704159,137.708171,"日曜日,水曜日,土曜日"
木村内科消化器科クリニック,鴨江4丁目19-23,053-453-9781,34.707107,137.7203,"水曜日,土曜日,日曜日"
あべクリニック,北寺島町209-5,053-458-6840,34.703212,137.742491,日曜日
まつばやしこどもクリニック,幸1丁目15-3,053-412-1234,34.741965,137.725565,"水曜日,土曜日,日曜日"
医療法人鶴友会 かきのきクリニック,幸1-4-15,053-476-5500,34.739544,137.723853,"木曜日,土曜日,日曜日"
橘整形外科クリニック,幸1丁目15-3,053-412-0550,34.741965,137.725565,"水曜日,土曜日,日曜日"
泌尿器科内科三樹医院,幸1-2-27,053-473-1662,34.738329,137.724802,"木曜日,土曜日,日曜日"
内山外科整形外科医院,幸5-7-1,053-472-3161,34.745724,137.724386,"木曜日,土曜日,日曜日"
坂の上在宅医療支援医院,幸4丁目36-2,053-416-2014,34.746028,137.732566,日曜日
西田内科医院,幸4ー7ー1,053-473-0188,34.745604,137.727025,"木曜日,土曜日,日曜日"
浜松佐藤町診療所,佐藤一丁目22-22,053-465-0210,34.712104,137.744616,"月曜日,水曜日,木曜日,金曜日,土曜日,日曜日"
内科リウマチ科福間クリニック,佐藤3-7-8,053-411-0202,34.712346,137.750098,"木曜日,土曜日午後,日曜日"
マスダクリニック,佐鳴台3-29-22,053-448-0066,34.706481,137.696271,"水曜日,土曜日,日曜日"
栗田内科医院,佐鳴台2-32-15,053-448-2115,34.701806,137.691921,"木曜日,土曜日,日曜日"
髙平内科,佐鳴台4-3-12,053-456-0031,34.705677,137.701695,"土曜日,日曜日"
にべ医院,鹿谷町38-7,053-472-8519,34.717719,137.718865,"木曜日,日曜日"
一貫堂内科消化器科医院,鹿谷町34-32,053-475-1551,34.716267,137.72053,"木曜日,土曜日,日曜日"
中川原内科胃腸科医院,城北1-16-6,053-471-9176,34.718739,137.722956,"水曜日,木曜日,土曜日,日曜日"
舘野医院,城北2-1-20,053-471-3014,34.722431,137.719492,"水曜日,土曜日,日曜日"
七草ファミリークリニック,新津町40-1,053-462-7793,34.723427,137.738646,"水曜日,土曜日,日曜日"
大久保外科・消化器科医院,菅原町16番15号,053-453-4598,34.697919,137.72287,"木曜日,土曜日,日曜日"
丸山病院,助信町39-10,053-473-6721,34.72345,137.737749,"土曜日午後,日曜日"
シティークリニック,砂山町329-1,053-450-8666,34.703229,137.737158,"木曜日,土曜日,日曜日"
冨田呼吸器アレルギー内科医院,住吉1-41-19,053-412-2222,34.731305,137.726778,"水曜日,日曜日"
聖隷健康診断センター,住吉2-35-8,053-473-5506,34.731305,137.726778,日曜日
大石内科痛みのクリニック,住吉2ー9ー8,053-474-8500,34.729697,137.726832,"木曜日,土曜日,日曜日"
夏目クリニック,早出町222-4,053-469-1231,34.738899,137.752854,"木曜日,土曜日,日曜日"
大竹内科医院,高丘北1-33-2,053-437-5800,34.762079,137.708814,"水曜日,土曜日,日曜日"
しみず内科クリニック,高丘北3-10-16,053-439-6226,34.764313,137.698986,"木曜日,土曜日,日曜日"
いそべハートクリニック,高丘東1-2-33,053-414-7000,34.754456,137.710588,"水曜日,土曜日,日曜日"
かねだ内科・消化器科クリニック,高丘東2丁目8-26,053-414-0888,34.755278,137.71286,"木曜日,土曜日,日曜日"
医療法人社団 井上医院,高丘西3-46-5,053-430-0520,34.761898,137.699143,日曜日
いくた内科医院,高林2-10-18,053-479-3500,34.725957,137.735736,"水曜日,木曜日,土曜日,日曜日"
すずきメディカルクリニック,高林4-6-40,053-416-0111,34.72922,137.734041,"水曜日,土曜日,日曜日"
矢部内科医院,田町226-19,053-452-7770,34.709242,137.730324,"土曜日,日曜日"
松永内科クリニック,中央一丁目15-5,053-450-0560,34.709588,137.735383,"水曜日,日曜日"
渡辺医院,中央3-6-13,053-452-6940,34.708637,137.740333,"火曜日,土曜日,日曜日"
つばさ内科,中央2-9-1,053-482-8020,34.71066,137.737822,"水曜日,土曜日,日曜日"
けいクリニック,寺島町179,053-453-8550,34.69849,137.737512,"木曜日,土曜日,日曜日"
ながさかハートクリニック,寺島町1057,053-454-1477,34.698361,137.734892,"木曜日,土曜日,日曜日"
山本内科クリニック,寺島町300-1,053-413-7711,34.700413,137.741855,"水曜日,土曜日,日曜日"
きとう皮膚科,富塚町1933-1,053-475-6054,34.722018,137.698767,"水曜日,土曜日,日曜日"
つね医院,富塚町1547-1,053-472-2500,34.732236,137.71026,"水曜日,日曜日"
橋本内科クリニック,富塚町3780-85,053-485-7200,34.724822,137.688881,"水曜日,土曜日,日曜日"
小林内科・消化器内科医院,富塚町1928-8,053-474-0110,34.722515,137.700436,"水曜日,土曜日,日曜日"
大坂内科医院,富塚町3002-8,053-472-1140,34.728818,137.691114,"水曜日,土曜日,日曜日"
くろいし内科クリニック,名塚町156-1,053-411-9614,34.702552,137.755889,"水曜日,土曜日,日曜日"
おかやま内科,西伊場町57-6,053-456-0220,34.699553,137.701155,"土曜日,日曜日"
さくらクリニック,布橋3-14-17,053-452-6567,34.719004,137.711697,"木曜日,土曜日,日曜日"
杉浦内科,布橋三丁目9-10,053-471-2723,34.721984,137.711797,"水曜日,土曜日,日曜日"
杉山循環器クリニック,布橋2丁目12番43号,053-412-2552,34.71939,137.717864,"水曜日,土曜日,日曜日"
小沢内科クリニック,野口町316,053-462-3255,34.717955,137.738165,"木曜日,土曜日,日曜日"
松下クリニック,萩丘4-6-9,053-475-5225,34.74651,137.736856,"木曜日,土曜日,日曜日"
はやかわクリニック,曳馬5-17-9,053-412-5070,34.732961,137.736342,"木曜日,土曜日,日曜日"
大脇産婦人科医院,曳馬3-3-22,053-411-0800,34.724547,137.744224,"木曜日,土曜日,日曜日"
小島医院,曳馬2-3-1,053-461-7692,34.725554,137.741933,"木曜日,土曜日,日曜日"
野中内科ハートクリニック,曳馬4丁目1-17,053-545-3033,34.730304,137.740796,"木曜日,土曜日,日曜日"
塩見内科医院,平田町45番地,053-452-0785,34.702511,137.729576,"木曜日,土曜日,日曜日"
長尾小児科医院,広沢1-9-18,053-453-5221,34.715335,137.717695,"木曜日,土曜日,日曜日"
神経科浜松病院,広沢2丁目56番1号,053-454-5361,34.715801,137.710797,日曜日
ひかり在宅クリニック,船越町52-30,053-461-3366,34.717938,137.749763,日曜日
和田医院,南浅田2-18-38,053-444-5577,34.688837,137.730943,"水曜日,土曜日,日曜日"
宅間内科皮膚科,山下町28,053-471-3050,34.7151,137.730579,"土曜日,日曜日"
山手クリニック,山手町22-14,053-452-2803,34.71067,137.704826,"木曜日,土曜日,日曜日"
小島外科消化器科医院,山手町23-12,053-413-6636,34.710308,137.703816,"木曜日,土曜日,日曜日"
とみた内科,領家3-25-6,053-441-7800,34.692632,137.753989,"木曜日,土曜日,日曜日"
むこうだか耳鼻咽喉科,和合北1-3-68,053-471-3387,34.735924,137.721932,"水曜日,土曜日,日曜日"
佐藤内科医院,和合北3-5-47,053-548-0193,34.739737,137.715535,"水曜日,土曜日,日曜日"
よこたこどもクリニック,和合町27-13,053-475-7500,34.7322,137.721817,"木曜日,日曜日"
恵仁会 田中医院,和合町11-5,053-471-0155,34.731669,137.714865,"木曜日,土曜日,日曜日"
大場クリニック,和合町220-2486,053-476-8500,34.741583,137.705104,"木曜日,土曜日,日曜日"
木もれび内科クリニック,下池川町20-1,053-474-1110,34.715898,137.72616,"水曜日,土曜日,日曜日"
小出胃腸科内科医院,茄子町352-1,053-464-3000,34.720119,137.750117,"水曜日,土曜日,日曜日"
中島内科消化器科医院,海老塚2-17-23,053-453-6516,34.698081,137.731042,"木曜日,土曜日,日曜日"
清水クリニック,向宿1-21-16,053-467-0911,34.705718,137.754069,"水曜日,土曜日,日曜日"
坂の上ファミリークリニック,小豆餅4丁目4-20,053-416-1164,34.750484,137.732825,"水曜日,土曜日,日曜日"
東漢堂内科クリニック,小豆餅1-17-7,053-430-1188,34.753631,137.723691,"木曜日,土曜日,日曜日"
すずしろクリニック,松城町200-10,053-489-4159,34.711727,137.722552,"水曜日,土曜日,日曜日"
たなか内科クリニック,神田町360-27,053-444-3001,34.691944,137.720485,"木曜日,土曜日,日曜日"
山口内科クリニック,東伊場1-11-2,053-452-4893,34.699763,137.724306,"水曜日,土曜日,日曜日"
さなるサンクリニック,東伊場2-14-39,053-457-3221,34.697257,137.717386,"木曜日,土曜日,日曜日"
多々見クリニック,蜆塚1-6-7,053-455-7755,34.711312,137.712868,日曜日
かけい医院,蜆塚3-8-5,053-452-8418,34.713145,137.707315,"水曜日,土曜日,日曜日"
北川内科医院,蜆塚4-23-21,053-450-6565,34.712026,137.702907,"木曜日,土曜日,日曜日"
